Test,Genes
Irf7,IRF7
Bst2,BST2
Irgm1,IRGM1
Psmb8,PSMB8
Lgals3bp,LGALS3BP
Rsad2,RSAD2
Gbp2,GBP2
Ifi35,IFI35
Nlrc5,NLRC5
Parp10,PARP10
Tor3a,TOR3A
Ddx58,DDX58
Cmpk2,CMPK2
C4b,C4B
H2-Q4,H2-Q4
H2-T23,H2-T23
Uba7,UBA7
Psmb9,PSMB9
Ube2l6,UBE2L6
H2-D1,H2-D1
Parp12,PARP12
Helz2,HELZ2
Igtp,IGTP
Stat1,STAT1
Ifi27l2a,IFI27L2A
Ly6e,LY6E
Oasl1,OASL1
Cxcl10,CXCL10
Gbp3,GBP3
Ifitm3,IFITM3
Stat2,STAT2
Dtx3l,DTX3L
Tap1,TAP1
Ifit2,IFIT2
Isg15,ISG15
H2-T22,H2-T22
H2-Q7,H2-Q7
Trim25,TRIM25
Usp18,USP18
Rnf213,RNF213
Mx2,MX2
Dhx58,DHX58
H2-K1,H2-K1
Gbp9,GBP9
Parp3,PARP3
Oasl2,OASL2
Irgm2,IRGM2
Islr,ISLR
Tcirg1,TCIRG1
AW011738,AW011738
B2m,B2M
Tap2,TAP2
Parp14,PARP14
Parp9,PARP9
Zc3hav1,ZC3HAV1
Irf9,IRF9
Znfx1,ZNFX1
Plekha4,PLEKHA4
Tspo,TSPO
Eif2ak2,EIF2AK2
Trim21,TRIM21
Ifih1,IFIH1
Xaf1,XAF1
Clec2d,CLEC2D
Tgm2,TGM2
Tmem106a,TMEM106A
Rtp4,RTP4
Serping1,SERPING1
Samd9l,SAMD9L
Gbp4,GBP4
Psme1,PSME1
Shisa5,SHISA5
Serpina3n,SERPINA3N
Tapbp,TAPBP
Tapbpl,TAPBPL
A230050P20Rik,A230050P20RIK
Mlkl,MLKL
Psmb10,PSMB10
Gbp7,GBP7
Nmi,NMI
Ly6c1,LY6C1
Hap1,HAP1
H2-Q6,H2-Q6
H2-M3,H2-M3
Oas1b,OAS1B
Socs1,SOCS1
Lmo2,LMO2
Adar,ADAR
Pml,PML
Lgals9,LGALS9
Pla1a,PLA1A
Herc6,HERC6
Samhd1,SAMHD1
Gadd45g,GADD45G
Tlr3,TLR3
Irf1,IRF1
Myd88,MYD88
Perm1,PERM1
Mov10,MOV10
Oas1a,OAS1A
Ifit3,IFIT3
Psme2,PSME2
Oas2,OAS2
Trim14,TRIM14
Mpeg1,MPEG1
Isg20,ISG20
Rnf135,RNF135
Apobec3,APOBEC3
Il18bp,IL18BP
Erap1,ERAP1
Timp1,TIMP1
Insc,INSC
Gm6548,GM6548
9530082P21Rik,9530082P21RIK
4933412E12Rik,4933412E12RIK
Gm26797,GM26797
A930037H05Rik,A930037H05RIK
Crybg1,CRYBG1
Pttg1,PTTG1
Ifit1,IFIT1
Ifit3b,IFIT3B
Phactr1,PHACTR1
Ascc3,ASCC3
Trim30a,TRIM30A
Fam46a,FAM46A
Slfn9,SLFN9
Gm12250,GM12250
Slc25a22,SLC25A22
Ly6a,LY6A
H2-T10,H2-T10
Ifi44,IFI44
Ifi47,IFI47
Apobec1,APOBEC1
Apol9a,APOL9A
Apol9b,APOL9B
Mx1,MX1
Oas1g,OAS1G
Asap3,ASAP3
Olfm1,OLFM1
Slfn5,SLFN5
Pacsin1,PACSIN1
Trim12a,TRIM12A
Iigp1,IIGP1
Hdc,HDC
Csf1,CSF1
Itm2b,ITM2B
Klc2,KLC2
Cd47,CD47
Hfe,HFE
9330175E14Rik,9330175E14RIK
Zbp1,ZBP1
Oas3,OAS3
Gm20559,GM20559
Dusp28,DUSP28
Gm4951,GM4951
Myh7,MYH7
Capn5,CAPN5
Cd274,CD274
Chga,CHGA
Ccdc88b,CCDC88B
Spsb1,SPSB1
Apod,APOD
Nmnat2,NMNAT2
Phf11d,PHF11D
Nod1,NOD1
Gsdmd,GSDMD
Gm11131,GM11131
Tuba8,TUBA8
Ddx60,DDX60
Trim30d,TRIM30D
Vcam1,VCAM1
Sp100,SP100
Batf2,BATF2
Slfn8,SLFN8
Trim56,TRIM56
Phf11b,PHF11B
C1ra,C1RA
Ccdc80,CCDC80
Abca1,ABCA1
Mmp28,MMP28
Ogfr,OGFR
Gper1,GPER1
Trim12c,TRIM12C
Scarf1,SCARF1
Trafd1,TRAFD1
Lgals8,LGALS8
Slc12a7,SLC12A7
Unc93b1,UNC93B1
Axl,AXL
Parp11,PARP11
Nampt,NAMPT
Tmco4,TMCO4
Jade2,JADE2
Il17rc,IL17RC
Pik3ip1,PIK3IP1
Grn,GRN
Upp1,UPP1
Daxx,DAXX
Thrsp,THRSP
Rbm43,RBM43
Rnf31,RNF31
Pnpt1,PNPT1
Cnih2,CNIH2
Gbp6,GBP6
Plac8,PLAC8
Tdrd7,TDRD7
Emp2,EMP2
Mitd1,MITD1
Trim34a,TRIM34A
Nrp2,NRP2
Uaca,UACA
Rbms2,RBMS2
Card10,CARD10
Vamp5,VAMP5
Spats2l,SPATS2L
Zfp521,ZFP521
F830016B08Rik,F830016B08RIK
Csrnp1,CSRNP1
Rd3,RD3
Myo16,MYO16
Vwa5a,VWA5A
Hspb8,HSPB8
P2rx6,P2RX6
Lck,LCK
Asah2,ASAH2
Slfn2,SLFN2
Thbs1,THBS1
Ace,ACE
Oas1c,OAS1C
Cacng5,CACNG5
Cox18,COX18
Foxf1,FOXF1
Plod3,PLOD3
Gbp10,GBP10
Tor1aip1,TOR1AIP1
Tnfsf10,TNFSF10
Klhdc7a,KLHDC7A
Ankfy1,ANKFY1
Tgtp2,TGTP2
Lynx1,LYNX1
Rnf114,RNF114
Gm17334,GM17334
Slc2a12,SLC2A12
Rec8,REC8
Zcchc6,ZCCHC6
Gm12216,GM12216
Stk32c,STK32C
Rgs14,RGS14
Gm12185,GM12185
Cbs,CBS
Il18,IL18
Casp12,CASP12
Chmp4b,CHMP4B
Scarb2,SCARB2
Acsl5,ACSL5
Bfsp2,BFSP2
Adamts4,ADAMTS4
Stard5,STARD5
Cds1,CDS1
Sqstm1,SQSTM1
Mocos,MOCOS
Tmem151a,TMEM151A
Nudt13,NUDT13
Gm9869,GM9869
9530053A07Rik,9530053A07RIK
Ncoa7,NCOA7
Atp10a,ATP10A
Mvp,MVP
Ifi204,IFI204
Usp35,USP35
Tmem176b,TMEM176B
Rxrg,RXRG
Rgs2,RGS2
Olfml2b,OLFML2B
Gbp11,GBP11
Rarres2,RARRES2
Cerk,CERK
Dapp1,DAPP1
Tulp3,TULP3
Asb13,ASB13
Trim26,TRIM26
Pdlim4,PDLIM4
Ifi206,IFI206
Tgtp1,TGTP1
C2,C2
Gbp8,GBP8
Idnk,IDNK
Sfxn2,SFXN2
Gprin2,GPRIN2
Cnp,CNP
Ddit3,DDIT3
BC023105,BC023105
Tmem40,TMEM40
Adgrd1,ADGRD1
Ddx24,DDX24
Gfap,GFAP
Gm4841,GM4841
Sdc3,SDC3
Ppp1r1a,PPP1R1A
Plscr2,PLSCR2